id,type,common,latin,tags,desc,treat
powdery_mildew,fungal,Powdery Mildew,Erysiphales spp.,leaf_any;leaf_new;powdery;white;poor_air;warm,"A white to gray powdery coating spreads across leaf surfaces and stems, often starting on upper leaf faces, eventually stunting growth and distorting new shoots.","Improve airflow and spacing, remove infected leaves, apply sulfur or potassium bicarbonate fungicide at first sign."
downy_mildew,oomycete,Downy Mildew,Peronosporaceae spp.,leaf_lower;leaf_any;yellow;fuzzy_mold;gray;humid;wet;cool,"Pale yellow blotches appear on upper leaf surfaces with a gray-purple fuzzy growth on the undersides, usually following cool, damp nights.","Avoid overhead watering, increase spacing, apply copper-based fungicide, remove and destroy infected foliage."
early_blight,fungal,Early Blight,Alternaria solani,leaf_lower;spots_circular;rings;brown;warm;humid,"Dark brown spots with concentric target-like rings form on lower, older leaves first, surrounded by a yellow halo, and work upward over time.","Remove lower infected leaves, rotate crops yearly, mulch to prevent soil splash, apply chlorothalonil or copper fungicide."
late_blight,oomycete,Late Blight,Phytophthora infestans,leaf_any;stem;fruit;spots_irregular;brown;fuzzy_mold;wet;cool;spreading_fast,"Large, water-soaked, irregular gray-brown blotches spread fast across leaves and stems, often with white fuzzy growth on undersides in wet weather; entire fields can collapse within days.","Destroy infected plants immediately, avoid overhead irrigation, apply protectant fungicide preventatively in high-risk weather, use resistant varieties."
rust,fungal,Leaf Rust,Puccinia / Uromyces spp.,leaf_any;pustules;orange;warm;humid,"Small raised orange to rust-colored pustules erupt on leaf undersides, leaving a powdery residue on hands or clothing when brushed.","Remove volunteer plants and infected debris, apply triazole or strobilurin fungicide, choose resistant cultivars."
anthracnose,fungal,Anthracnose,Colletotrichum spp.,leaf_any;fruit;stem;spots_circular;rings;brown;black;wet;humid,"Dark, sunken lesions with concentric rings develop on leaves, stems, and fruit, sometimes oozing pink spore masses in humid conditions.","Prune for airflow, avoid working plants when wet, apply copper or mancozeb fungicide, rotate away from susceptible crops."
gray_mold,fungal,Gray Mold (Botrytis),Botrytis cinerea,flower;fruit;leaf_any;fuzzy_mold;gray;rot_soft;humid;cool,"A soft brown rot covered in fuzzy gray-brown mold develops on flowers, fruit, and damaged tissue, especially after cool damp periods.","Improve ventilation, remove spent flowers and dying tissue promptly, avoid overhead watering, apply fungicide labeled for Botrytis."
fusarium_wilt,fungal,Fusarium Wilt,Fusarium oxysporum,whole;wilting;vascular_stripe;yellow;warm;root,"One side of the plant often yellows and wilts first, and a brown discoloration is visible in the stem's vascular tissue when cut lengthwise, even with adequate soil moisture.","Remove and destroy infected plants, solarize soil, rotate to non-host crops for several years, plant resistant varieties — no effective curative fungicide exists."
verticillium_wilt,fungal,Verticillium Wilt,Verticillium dahliae,whole;wilting;vascular_stripe;yellow;leaf_lower;cool;root,"Lower leaves yellow and wilt in a V-shaped pattern from the leaf margin inward, with brownish streaking in the stem's vascular ring, worsening in cooler weather.","Remove infected plants and roots, rotate with non-host crops for 4+ years, avoid excess nitrogen, use resistant varieties."
septoria,fungal,Septoria Leaf Spot,Septoria lycopersici,leaf_lower;spots_circular;black;brown;humid;wet,"Numerous small circular spots with dark margins and tan-gray centers speckle the lower leaves, which yellow and drop as infection climbs the plant.","Remove infected lower leaves, mulch to reduce splash, avoid overhead watering, apply chlorothalonil-based fungicide."
sooty_mold,fungal,Sooty Mold,Capnodium spp.,leaf_any;stem;black;poor_air,"A black, soot-like coating grows on the surface of leaves and stems, following the sugary honeydew left behind by aphids or scale insects rather than infecting tissue directly.","Control the underlying insect pest (aphids, whitefly, scale), wash foliage with mild soapy water to remove residue."
white_mold,fungal,White Mold (Sclerotinia),Sclerotinia sclerotiorum,stem;whole;rot_soft;white;wilting;wet;cool;poor_air,"A white cottony growth develops at stem bases or branch junctions, causing sudden wilting; hard black resting bodies (sclerotia) may be visible inside split stems.","Improve spacing and airflow, avoid dense canopy, rotate with grasses, remove infected debris, apply fungicide at flowering in high-risk fields."
black_spot,fungal,Black Spot,Diplocarpon rosae,leaf_any;spots_irregular;black;purple;yellow;wet;humid,"Black spots with feathered, irregular margins form on leaves, often surrounded by a yellow halo, leading to early leaf drop on susceptible plants.","Remove fallen infected leaves each season, avoid wetting foliage, apply fungicide on a preventive schedule, prune for airflow."
smut,fungal,Smut,Ustilago spp.,fruit;stem;whole;galls;black;warm,"Grayish-white galls swell on ears, stems, or tassels and rupture to release a mass of powdery black spores as they mature.","Remove and destroy galls before rupture, avoid mechanical wounding of plants, rotate crops, use resistant hybrids."
citrus_canker,bacterial,Citrus Canker,Xanthomonas citri subsp. citri,leaf_any;stem;fruit;canker;spots_circular;brown;yellow;wet;humid,"Raised, corky lesions with water-soaked, yellow-haloed margins erupt on leaves, twigs, and fruit of citrus trees, often coalescing into cracked canker-like patches.","Prune and destroy infected tissue, disinfect tools between cuts, apply copper bactericide sprays, avoid overhead irrigation, use certified disease-free planting stock."
soft_rot,bacterial,Bacterial Soft Rot,Pectobacterium / Erwinia spp.,fruit;root;rot_soft;whole;black;brown;wet;warm,"Tissue rapidly breaks down into a slimy, foul-smelling mass, often starting at a wound and spreading through fleshy fruits, tubers, or rhizomes within days.","Remove and destroy affected produce immediately, improve field drainage and storage ventilation, avoid wounding during harvest and handling, store at cool dry temperatures."
dry_rot,fungal,Dry Rot,Fusarium spp.,root;fruit;rot_dry;brown;black;cool,"Sunken, wrinkled, dry lesions develop on tubers or corms in storage, with internal tissue turning powdery and discolored as the rot progresses inward.","Cure tubers properly before storage, discard damaged or infected stock, maintain cool dry storage conditions, rotate crops and avoid wounding at harvest."
stem_canker,fungal,Stem Canker,Diaporthe / Phomopsis spp.,stem;canker;rot_dry;brown;black;wet,"Sunken, discolored lesions girdle the stem at the site of infection, often at a wound or node, eventually cutting off water flow and causing dieback above the canker.","Prune out and destroy cankered stems well below the lesion, disinfect pruning tools, avoid stem wounding, apply protectant fungicide at pruning cuts in high-risk periods."
plumeria_rust,fungal,Plumeria Rust,Coleosporium plumeriae,leaf_any;pustules;orange;yellow;humid;warm,"Bright orange-yellow powdery pustules erupt on the undersides of plumeria leaves, with corresponding yellow blotches on the upper surface, leading to early leaf drop.","Remove and destroy fallen infected leaves, avoid overhead watering, improve air circulation between plants, apply sulfur or copper-based fungicide at first sign."
false_smut_rice,fungal,False Smut of Rice,Ustilaginoidea virens,fruit;galls;yellow;green;black;humid;wet,"Individual rice grains are replaced by velvety yellow-green fungal balls that darken to black as they mature, replacing the grain within infected panicles.","Use resistant varieties, avoid excess nitrogen fertilization, apply fungicide at boot-to-heading stage in high-risk conditions, avoid overly dense planting."
papaya_ring_disease,viral,Papaya Ring Spot Disease,Papaya ringspot virus,fruit;leaf_any;leaf_distortion;vein_clearing;streak;yellow;whole,"Concentric ring-shaped spots mark the fruit surface while leaves show vein clearing, mottling, and distortion, often accompanied by stunted, misshapen growth of the whole plant.","Remove and destroy infected plants promptly, control aphid vectors, use virus-resistant or tolerant papaya varieties, avoid planting near other infected cucurbits or papaya."
damping_off,fungal,Damping-off,Pythium / Rhizoctonia spp.,whole;root;rot_soft;wilting;brown;black;wet;overhead;cool,"Seedlings collapse suddenly at the soil line shortly after emergence, with a thin, water-soaked, discolored stem lesion, often wiping out entire seed trays or nursery beds.","Improve soil drainage and avoid overwatering, use sterile potting media, avoid overcrowding seedlings, apply a seed treatment or drench fungicide in nursery settings."
weligama_coconut_wilt,phytoplasma,Weligama Coconut Leaf Wilt,Candidatus Phytoplasma sp.,leaf_any;whole;yellow;necrosis;tip_necrosis;wilting;witches_broom,"Coconut fronds show yellowing and drying from the tip inward, with progressive leaf wilting, stunted new growth, and reduced nut yield over several years, spreading slowly through a plantation.","Remove and destroy severely affected palms to reduce spread, control phloem-feeding insect vectors, avoid moving planting material from affected zones, report suspected cases to local plant protection authorities."
tea_blister_blight,fungal,Tea Blister Blight,Exobasidium vexans,leaf_new;blister;white;humid;wet;cool;poor_air,"Translucent, oily-looking spots on young tea leaves swell into pale blisters with a white spore layer on the underside, a major disease in Sri Lanka's wet-zone tea estates during monsoon months.","Maintain good field drainage and plucking rounds to reduce leaf wetness duration, apply copper or systemic fungicide on a preventive spray schedule, prune for airflow between bushes."
tea_red_rust,algal,Tea Red Rust (Algal Leaf Spot),Cephaleuros parasiticus,leaf_any;stem;spots_circular;orange;humid;wet;poor_air,"Rust-orange, velvety circular patches spread across tea leaves and young stems, most common on weak or shaded bushes with poor drainage or nutrition.","Improve drainage and bush nutrition, prune to increase light and airflow, apply copper oxychloride spray on affected sections, avoid excessive shade."
rubber_leaf_fall,fungal,Corynespora Leaf Fall,Corynespora cassiicola,leaf_any;spots_irregular;black;brown;vascular_stripe;wet;humid,"Irregular dark brown to black spots with a distinctive ""fishbone"" pattern along the leaf midrib and veins cause premature leaf fall in rubber, a serious threat to Sri Lankan rubber plantations.","Use resistant clones where available, apply fungicide during high-risk wet periods, remove and destroy fallen infected leaves, avoid moving planting material from infected estates."
rubber_abnormal_leaf_fall,oomycete,Abnormal Leaf Fall (Rubber),Phytophthora spp.,leaf_any;fruit;stem;rot_soft;black;wet;humid;spreading_fast,"Sudden, heavy defoliation strikes rubber trees during monsoon rains, with black lesions on leaf stalks and pods causing green, unshed leaves and pods to drop together.","Apply protectant fungicide sprays before and during the monsoon season, improve field drainage, avoid planting in low-lying waterlogged areas, remove fallen infected material."
rubber_pink_disease,fungal,Pink Disease (Rubber),Erythricium salmonicolor,stem;canker;white;wilting;humid;wet;warm,"A pinkish, cobweb-like fungal growth encircles branches and stems of rubber trees, girdling the bark and causing wilting and dieback of everything above the infected point.","Prune and destroy infected branches well below the pink growth, apply fungicidal paste to pruning wounds, improve canopy spacing and airflow, avoid excess shade and humidity."
